iter	TotalF1	MultiClass
0	0.5611572398	1.034750431
1	0.5288180179	0.9972250346
2	0.5764802008	0.9652222992
3	0.5751798509	0.9415336828
4	0.5827358676	0.923198589
5	0.590599944	0.9090371173
6	0.5947547501	0.8975892614
7	0.5964736139	0.8886540937
8	0.5993702787	0.8803785412
9	0.6017101114	0.8733028063
10	0.6025586915	0.8673391103
11	0.6050632236	0.8613425311
12	0.6060679072	0.857464767
13	0.60699431	0.8543365903
14	0.6075132944	0.8509159823
15	0.6075057033	0.8482887407
16	0.6084752119	0.8457501735
17	0.6099345602	0.8432634935
18	0.6120559474	0.8404939926
19	0.6133665198	0.8383030174
20	0.6148356938	0.8359308718
21	0.6172519086	0.8329617492
22	0.6181667503	0.8309587243
23	0.6191214797	0.830028771
24	0.6199799593	0.8282242661
25	0.6207211212	0.8269573517
26	0.6218945654	0.8252250163
27	0.6232522846	0.8242143965
28	0.6232032955	0.8234786615
29	0.6241005212	0.8222089878
30	0.6237170237	0.822269349
31	0.6244373687	0.8211990701
32	0.6255707613	0.8202955937
33	0.6259817152	0.8197925493
34	0.6262163839	0.8181932492
35	0.6257414002	0.817516659
36	0.6263512527	0.8167605936
37	0.6268352253	0.8158014853
38	0.6272474433	0.8149684874
39	0.6283605909	0.8131824825
40	0.6284453714	0.8130510557
41	0.629317067	0.812265782
42	0.6300728595	0.8106622749
43	0.6304705012	0.8106717332
44	0.6310911291	0.8100876297
45	0.6314103766	0.8094177834
46	0.6309923745	0.809070388
47	0.6322064029	0.8082415714
48	0.6331137904	0.8076900838
49	0.6324724263	0.8071882058
50	0.6327027686	0.8060714384
51	0.6322100727	0.8054349156
52	0.6339050164	0.8048152135
53	0.6348331269	0.8043411177
54	0.6347655909	0.8038976115
55	0.6356731665	0.803037194
56	0.6364642813	0.8021521537
57	0.6361106351	0.8018350414
58	0.6362634123	0.8016775684
59	0.6364345351	0.8010865055
60	0.6363734379	0.8004571275
61	0.6370473985	0.7995447635
62	0.6379780574	0.7986963143
63	0.63799518	0.798403133
64	0.6380876482	0.7980256626
65	0.6395121773	0.7965989054
66	0.6398845416	0.795629016
67	0.6405874744	0.7946178535
68	0.640510013	0.7937527326
69	0.6406667741	0.7930441225
70	0.6411150494	0.7920390594
71	0.6410726256	0.7914205653
72	0.6417526729	0.7910922374
73	0.6420750652	0.7898437788
74	0.6429020893	0.7890398569
75	0.6428179603	0.7878369662
76	0.6433455189	0.7869147599
77	0.6442189713	0.7859163129
78	0.6442588539	0.7854757243
79	0.6444296022	0.7845883843
80	0.6450146463	0.7840790204
81	0.6449637383	0.7833521809
82	0.645328494	0.7821725731
83	0.6461889008	0.781130172
84	0.6460206028	0.7805169883
85	0.645977989	0.7801295025
86	0.6469724973	0.7790591981
87	0.6469533923	0.7786766788
88	0.6475447783	0.7781365438
89	0.6478388784	0.777564686
90	0.6485396406	0.7771784843
91	0.6490621328	0.7762736938
92	0.6496471042	0.7752906563
93	0.6494738977	0.7746225677
94	0.649704548	0.7742269111
95	0.6498004841	0.7737640258
96	0.6498673613	0.7733791018
97	0.6498783922	0.773138795
98	0.6507115912	0.7723582389
99	0.650662685	0.7716833909
100	0.6513658214	0.7711347856
101	0.651541121	0.7707001637
102	0.6525454561	0.7700489565
103	0.6520022045	0.7697032961
104	0.6527167916	0.7689632844
105	0.6532295137	0.7683177424
106	0.6532283775	0.7680100133
107	0.6536780678	0.7676539255
108	0.6536235245	0.7671985081
109	0.6540637374	0.7669511114
110	0.6545281407	0.7663715082
111	0.6549408934	0.7659042367
112	0.6553374612	0.7652863162
113	0.6556011592	0.7649105323
114	0.6558811445	0.7646387174
115	0.6558572626	0.7643088677
116	0.6566625956	0.7637258514
117	0.6567919255	0.7635625576
118	0.6569982278	0.7634214324
119	0.6572276105	0.7628770965
120	0.6577891953	0.7626085106
121	0.6579468896	0.7623550837
122	0.6581525638	0.7620391342
123	0.6587630281	0.7616707863
124	0.659245806	0.7606960022
125	0.6593530376	0.760448011
126	0.6597832272	0.7601568943
127	0.6595890594	0.7596582507
128	0.6597995867	0.7595232792
129	0.6600821319	0.7592710583
130	0.6604067682	0.7589863009
131	0.6601251935	0.7586488998
132	0.6602810186	0.7582694242
133	0.6602804055	0.7578133958
134	0.660546428	0.757133304
135	0.6605727921	0.7566527835
136	0.6608077833	0.7564198462
137	0.6611273265	0.7558980369
138	0.6617630809	0.7555411271
139	0.6625758966	0.7550073504
140	0.6627908702	0.7547050112
141	0.6626564327	0.7545160689
142	0.6628783153	0.7542604481
143	0.6632644569	0.7541010291
144	0.6635718243	0.7537347464
145	0.6635136586	0.7533884001
146	0.6637739751	0.7528736595
147	0.6639241402	0.7525743311
148	0.6641968974	0.7525848857
149	0.6645089902	0.7521914694
150	0.6648173105	0.7518713145
151	0.6646178007	0.7517138488
152	0.6648632938	0.7514955622
153	0.6651632675	0.7510944519
154	0.6653659287	0.750533851
155	0.6661635545	0.7504791536
156	0.6659321893	0.7501526637
157	0.66583165	0.7499689481
158	0.6660382629	0.7496666551
159	0.666277249	0.749330274
160	0.6657758324	0.7492237453
161	0.6657792783	0.7488620692
162	0.6667375239	0.7486394738
163	0.6668511553	0.7482258771
164	0.6666855333	0.747950487
165	0.6664677145	0.7477132956
166	0.6668706564	0.74759596
167	0.6673783802	0.7475174924
168	0.6675120724	0.7472605184
169	0.6677586876	0.7469557054
170	0.6680668614	0.7468445109
171	0.6674402228	0.7466350733
172	0.6678456553	0.7462496014
173	0.6679362772	0.7461055612
174	0.6676953151	0.7457333976
175	0.667792714	0.7457707787
176	0.6677483545	0.7455906245
177	0.6679686976	0.7453194609
178	0.6675574413	0.7451321504
179	0.6676146577	0.7447862304
180	0.6675362775	0.7445806339
181	0.6672850233	0.7442783138
