iter	Passed	Remaining
0	578	244263
1	919	193644
2	1411	197622
3	1874	196391
4	2374	198480
5	2893	201065
6	3395	201798
7	3858	200170
8	4391	202015
9	4956	204688
10	5705	213715
11	6441	220609
12	7055	222518
13	7566	221043
14	8103	220417
15	8646	219936
16	9183	219332
17	9715	218595
18	10356	220216
19	11039	222442
20	11662	223258
21	12248	223252
22	12799	222603
23	13497	224400
24	14079	224141
25	14736	225017
26	15383	225622
27	15902	224334
28	16318	221705
29	16841	220625
30	16945	214277
31	17511	213965
32	18093	213833
33	18381	210311
34	18948	210060
35	19594	210636
36	20262	211392
37	20775	210493
38	21552	212208
39	22352	214021
40	22571	210302
41	23165	210143
42	23804	210366
43	23995	206689
44	24729	207725
45	25335	207638
46	25734	205872
47	26471	206805
48	27049	206463
49	27634	206156
50	28326	206614
51	29012	206996
52	29705	207375
53	30383	207621
54	31048	207745
55	31646	207398
56	32409	208105
57	33042	207942
58	33336	205672
59	34016	205801
60	34663	205708
61	35314	205619
62	35858	204907
63	36482	204643
64	37138	204546
65	37775	204331
66	38343	203736
67	39023	203727
68	39644	203394
69	40443	203950
70	41004	203290
71	41709	203333
72	42340	203003
73	42909	202371
74	43581	202218
75	44245	202014
76	44704	200878
77	45274	200254
78	46017	200382
79	46737	200386
80	47419	200216
81	48001	199617
82	48557	198910
83	49220	198639
84	49723	197724
85	50375	197401
86	51032	197091
87	51752	197011
88	52591	197365
89	53538	198091
90	54982	200594
91	57250	205978
92	58101	206165
93	59173	207108
94	60197	207839
95	61362	209014
96	62365	209598
97	63168	209487
98	63819	208862
99	64466	208226
100	65093	207526
101	65758	206945
102	66443	206425
103	67025	205587
104	67816	205385
105	68544	204985
106	68985	203733
107	69683	203243
108	70441	202924
109	71009	202054
110	71763	201713
111	72637	201699
112	73072	200464
113	73652	199638
114	74121	198516
115	74704	197708
116	75140	196521
117	75765	195834
118	76291	194895
119	76882	194127
120	77421	193233
121	78031	192519
122	78537	191555
123	79138	190824
124	79587	189737
125	80128	188873
126	80710	188112
127	81194	187128
128	81625	186029
129	82118	185082
130	82645	184217
131	83352	183754
132	83868	182871
133	84392	182009
134	84766	180836
135	85264	179933
136	85827	179173
137	86489	178620
138	86990	177735
139	87588	177054
140	88093	176187
141	89232	176579
142	89974	176173
143	90635	175605
144	91138	174734
145	91777	174125
146	92201	173112
147	92843	172512
148	93434	171819
149	94327	171676
150	95161	171417
151	95874	170934
152	96624	170513
153	97361	170066
154	98095	169610
155	99005	169451
156	99669	168866
157	100592	168715
158	101372	168316
159	102400	168320
160	103239	168005
161	103804	167239
162	105268	167913
163	105921	167277
164	107015	167333
165	107692	166728
166	108298	166014
167	108781	165114
168	109137	164029
169	109770	163364
170	110489	162826
171	112354	163958
172	112942	163211
173	113759	162794
174	114545	162328
175	115000	161392
176	115605	160671
177	116108	159812
178	116685	159057
179	117465	158578
180	118049	157833
181	119049	157642
182	121927	159905
183	123118	159920
184	124157	159726
185	125140	159452
186	126197	159265
187	127336	159170
188	128383	158951
189	129513	158824
190	130312	158285
191	131269	157933
192	132306	157671
193	133518	157606
194	134063	156750
195	134638	155932
196	135202	155105
197	135765	154279
198	136316	153441
199	136883	152625
200	137452	151812
201	138004	150984
202	138589	150195
203	139166	149399
204	139736	148598
205	140193	147679
206	140696	146814
207	141221	145973
208	141689	145078
209	142217	144248
210	142799	143476
211	143399	142723
212	143876	141850
213	144296	140925
214	144803	140088
215	145220	139169
216	145633	138251
217	146161	137445
218	146675	136629
219	147219	135843
220	147814	135106
221	148434	134393
222	148857	133504
223	149369	132699
224	149871	131886
225	150286	131002
226	150837	130238
227	151377	129467
228	151921	128702
229	152370	127858
230	152889	127077
231	153415	126303
232	153917	125512
233	154400	124708
234	154887	123909
235	155438	123165
236	155827	122295
237	156309	121501
238	156763	120687
239	157261	119911
240	157839	119198
241	158421	118488
242	159002	117779
243	159543	117041
244	160304	116466
245	161073	115893
246	161842	115320
247	162521	114682
248	163092	113968
249	163634	113235
250	164105	112454
251	165146	112063
252	166067	111586
253	167437	111405
254	168268	110859
255	169283	110431
256	169752	109645
257	170447	109007
258	171011	108285
259	171571	107562
260	172610	107137
261	173165	106410
262	173698	105671
263	174122	104869
264	174689	104154
265	175121	103361
266	175675	102641
267	176157	101881
268	176620	101113
269	177151	100385
270	177797	99723
271	178470	99077
272	179228	98476
273	179806	97778
274	180328	97049
275	180830	96311
276	181478	95653
277	181896	94874
278	182396	94140
279	182963	93442
280	183518	92739
281	184419	92209
282	184898	91469
283	185531	90805
284	186110	90116
285	186900	89529
286	188358	89256
287	189604	88877
288	190722	88431
289	191779	87953
290	193074	87580
291	194715	87355
292	196228	87063
293	197547	86678
294	198626	86183
295	199314	85516
296	200225	84943
297	201092	84350
298	201892	83728
299	202509	83029
300	203454	82463
301	204651	81996
302	205216	81273
303	205794	80557
304	206312	79819
305	206876	79100
306	207331	78340
307	208002	77663
308	208581	76952
309	209355	76313
310	210026	75636
311	210558	74910
312	211220	74230
313	211793	73520
314	212245	72769
315	212751	72039
316	213247	71306
317	213769	70584
318	214287	69861
319	214784	69133
320	215354	68430
321	215916	67725
322	217978	67485
323	220396	67343
324	221070	66661
325	221912	66029
326	222550	65335
327	223191	64643
328	223764	63932
329	224315	63216
330	224833	62491
331	225449	61794
332	226079	61102
333	226872	60454
334	227450	59748
335	228145	59073
336	228747	58374
337	229319	57669
338	229812	56944
339	230263	56211
340	230706	55477
341	231235	54766
342	231695	54039
343	232238	53333
344	232679	52605
345	233163	51888
346	233614	51166
347	234116	50456
348	234790	49783
349	235431	49104
350	236083	48427
351	236691	47741
352	237329	47062
353	238127	46414
354	238680	45719
355	239259	45029
356	240171	44401
357	242172	43969
358	244746	43631
359	245262	42920
360	245892	42230
361	246679	41567
362	247357	40885
363	248091	40212
364	248744	39526
365	249495	38855
366	250156	38170
367	250700	37468
368	251254	36768
369	251873	36079
370	252443	35382
371	253183	34710
372	253683	34005
373	254530	33347
374	255392	32690
375	255990	31998
376	256555	31303
377	257508	30655
378	258176	29972
379	258927	29299
380	259742	28633
381	260407	27949
382	261329	27292
383	262058	26615
384	262855	25944
385	263280	25236
386	263649	24525
387	264296	23841
388	267161	23350
389	268293	22701
390	269749	22076
391	270967	21428
392	272372	20791
393	273937	20162
394	274939	19489
395	275690	18797
396	276612	18115
397	277356	17421
398	278650	16760
399	279706	16083
400	280452	15386
401	281356	14697
402	282328	14011
403	283318	13324
404	284708	12653
405	285494	11954
406	286091	11246
407	286763	10542
408	287682	9847
409	288294	9141
410	288827	8432
411	290136	7746
412	291177	7050
413	293010	6369
414	293764	5662
415	294314	4952
416	294978	4244
417	295655	3536
418	296500	2830
419	297074	2121
420	297774	1414
421	298389	707
422	298983	0
